Step,Reward,Phase,Contact,GraspForce,CubeHeight,StableSteps
137,13.900000,grasp,True,0.600,0.050,0
138,13.900000,grasp,True,0.600,0.050,0
139,13.900000,grasp,True,0.600,0.050,0
140,13.900000,grasp,True,0.600,0.050,0
141,13.900000,grasp,True,0.600,0.050,0
142,13.900000,grasp,True,0.600,0.050,0
143,13.900000,grasp,True,0.600,0.050,0
144,13.900000,grasp,True,0.600,0.050,0
145,13.900000,grasp,True,0.600,0.050,0
146,13.900000,grasp,True,0.600,0.050,0
147,13.900000,grasp,True,0.600,0.050,0
148,13.900000,grasp,True,0.600,0.050,0
149,13.900000,grasp,True,0.600,0.050,0
150,13.900000,grasp,True,0.600,0.050,0
151,13.900000,grasp,True,0.600,0.050,0
152,13.900000,grasp,True,0.600,0.050,0
153,13.900000,grasp,True,0.600,0.050,0
154,13.900000,grasp,True,0.600,0.050,0
155,13.900000,grasp,True,0.600,0.050,0
156,13.900000,grasp,True,0.600,0.050,0
157,13.900000,grasp,True,0.600,0.050,0
158,13.900000,grasp,True,0.600,0.050,0
159,13.900000,grasp,True,0.600,0.050,0
160,13.900000,grasp,True,0.600,0.050,0
161,13.900000,grasp,True,0.600,0.050,0
162,13.900000,grasp,True,0.600,0.050,0
163,13.900000,grasp,True,0.600,0.050,0
164,13.900000,grasp,True,0.600,0.050,0
165,13.900000,grasp,True,0.600,0.050,0
166,13.900000,grasp,True,0.600,0.050,0
167,13.900000,grasp,True,0.600,0.050,0
168,13.900000,grasp,True,0.600,0.050,0
169,13.900000,grasp,True,0.600,0.050,0
170,13.900000,grasp,True,0.600,0.050,0
171,13.900000,grasp,True,0.600,0.050,0
172,13.900000,grasp,True,0.600,0.050,0
173,13.900000,grasp,True,0.600,0.050,0
174,13.900000,grasp,True,0.600,0.050,0
175,13.900000,grasp,True,0.600,0.050,0
176,13.900000,grasp,True,0.600,0.050,0
177,13.900000,grasp,True,0.600,0.050,0
178,13.900000,grasp,True,0.600,0.050,0
179,13.900000,grasp,True,0.600,0.050,0
180,13.900000,grasp,True,0.600,0.050,0
181,13.900000,grasp,True,0.600,0.050,0
